Municipio,nomeProduto,cdPrograma,cdSubPrograma,cdFonteRecurso,cdTipoSeguro,cdEstado,VlCusteio,cdProduto,codCadMu,Atividade,cdModalidade,codIbge,AreaCusteio,cdData
ABADIÂNIA,"""BOVINOS""",999,0,503,3,10,87961.05,1300,24615,2,26,5200100,0.0,2018-05-01
LUZILÂNDIA,"""BOVINOS""",1,56,502,9,18,5000.0,1300,22813,2,26,2205805,0.0,2018-07-01
GURINHATÃ,"""BOVINOS""",50,0,201,9,12,1082876.53,1300,4714,2,26,3129103,0.0,2015-07-01
SERRA DA SAUDADE,"""BOVINOS""",999,0,430,9,12,37344.0,1300,16128,2,26,3166600,0.0,2016-03-01
SABINO,"""TOMATE""",999,0,201,3,27,240730.07,6940,5218,1,1,3544608,3.7,2018-03-01
PARACATU,"""SOJA""",999,0,201,3,12,288120.56,6720,23984,1,1,3147006,0.0,2014-07-01
IRINEÓPOLIS,"""FUMO""",999,0,201,9,25,181060.47,3680,35831,1,1,4207908,11.01,2020-10-01
JUNQUEIRÓPOLIS,"""CANA-DE-AÇUCAR""",999,0,440,9,27,590000.0,1840,4680,1,1,3526001,144.54,2017-04-01
SÃO JOSÉ DA LAJE,"""CANA-DE-AÇUCAR""",1,1,201,2,2,94848.43,1840,37231,1,1,2708303,22.7,2022-05-01
SÃO SEPÉ,"""BOVINOS""",1,1,300,-1,24,244371.66,1300,5311,2,26,4319604,0.0,2017-06-01
RIO VERDE DE MATO GROSSO,"""BOVINOS""",999,0,300,-1,13,574995.57,1300,38986,2,26,5007406,0.0,2015-01-01
SANTO ANTÔNIO DA PATRULHA,"""BOVINOS""",50,0,201,9,24,50191.25,1300,10605,2,37,4317608,63.0,2019-11-01
ABDON BATISTA,"""BOVINOS""",1,1,300,9,25,64247.42,1300,44918,2,26,4200051,0.0,2017-09-01
MANARI,"""VACINAS, SAIS MINERAIS E MEDICAMENTOS""",999,0,502,9,17,97.5,7300,56298,2,90,2609154,0.0,2022-05-01
JALES,"""SERINGUEIRA""",1,1,300,2,27,32666.22,6640,27461,1,1,3524808,6.0,2017-11-01
IBERTIOGA,"""MILHO""",1,1,300,2,12,51652.6,5080,15741,1,1,3129400,32.35,2015-09-01
SÃO JOÃO DO CAIUÁ,"""MANDIOCA (AIPIM, MACAXEIRA)""",50,0,201,1,19,104009.66,4760,14467,1,1,4124905,19.36,2017-08-01
AVARÉ,"""SOJA""",50,0,300,1,27,43921.18,6720,18559,1,1,3504503,0.0,2013-07-01
PLANALTO,"""BOVINOS""",1,0,650,-1,19,42321.1,1300,25504,2,26,4119806,0.0,2014-12-01
RIO NEGRO,"""SOJA""",1,1,300,2,19,507702.82,6720,29555,1,1,4122305,363.76,2015-09-01
AMAMBAI,"""SOJA""",50,0,303,1,13,116768.3,6720,25669,1,1,5000609,20.0,2022-07-01
SALGADO FILHO,"""SOJA""",1,1,300,2,19,10097.18,6720,14340,1,1,4122800,6.7,2015-09-01
AGROLÂNDIA,"""BOVINOS""",1,1,201,9,25,345573.62,1300,38481,2,31,4200200,18.56,2022-06-01
HERVAL D'OESTE,"""MILHO""",50,0,300,1,25,29610.0,5080,16135,1,1,4206702,4.45,2023-04-01
VIADUTOS,"""TRIGO""",999,0,300,1,24,28880.04,7100,20970,1,1,4322905,18.0,2016-06-01
SERRA NOVA DOURADA,"""BOVINOS""",999,0,303,9,14,319074.67,1300,58007,2,31,5107883,11.86,2021-08-01
IPUAÇU,"""SOJA""",50,0,505,1,25,40850.0,6720,49597,1,1,4207684,19.0,2018-10-01
NOVA UBIRATÃ,"""SOJA""",1,1,201,2,14,329905.89,6720,54685,1,1,5106240,61.32,2022-06-01
CAMPO LIMPO DE GOIÁS,"""MANDIOCA (AIPIM, MACAXEIRA)""",50,0,300,9,10,63146.75,4760,58210,1,1,5204854,0.0,2014-09-01
ITAÚ DE MINAS,"""MILHO""",999,0,201,9,12,85000.0,5080,43191,1,1,3133758,0.0,2014-09-01
MAMBORÊ,"""TRIGO""",999,0,402,9,19,453555.75,7100,33383,1,1,4114005,185.0,2020-12-01
FRUTAL,"""BOVINOS""",50,0,201,-1,12,200000.0,1300,40101,2,26,3127107,0.0,2015-04-01
BALDIM,"""MILHO""",1,0,300,2,12,10933.84,5080,19558,1,1,3105004,0.0,2014-01-01
KALORÉ,"""TOMATE""",1,0,300,2,19,10284.3,6940,15442,1,1,4113106,0.0,2013-11-01
TUPARENDI,"""BOVINOS""",50,0,201,9,24,271500.0,1300,6743,2,26,4322301,0.0,2015-10-01
NÃO-ME-TOQUE,"""TRIGO""",1,1,300,2,24,257693.99,7100,10801,1,1,4312658,204.5,2018-06-01
CAMPOS NOVOS PAULISTA,"""CANA-DE-AÇUCAR""",999,0,430,9,27,40000.05,1840,2383,1,1,3509809,9.27,2019-11-01
BRUMADO,"""BOVINOS""",50,0,201,9,5,542904.74,1300,4147,2,31,2904605,172.0,2021-01-01
ITUTINGA,"""BOVINOS""",1,1,300,-1,12,39036.27,1300,4422,2,26,3134509,0.0,2015-07-01
FORMIGA,"""BOVINOS""",1,0,300,9,12,172912.84,1300,34973,2,26,3126109,0.0,2013-10-01
CAMPINAÇU,"""BOVINOS""",50,0,300,9,10,50117.61,1300,41746,2,37,5204656,69.83,2021-01-01
PARANATINGA,"""BOVINOS""",50,0,300,9,14,210463.84,1300,40943,2,37,5106307,252.0,2020-10-01
RONDONÓPOLIS,"""BOVINOS""",999,0,300,9,14,1552205.67,1300,13059,2,37,5107602,240.33,2022-01-01
CAMPO VERDE,"""ALGODÃO""",999,0,201,9,14,3000000.0,560,44358,1,1,5102678,232.87,2022-09-01
IMARUÍ,"""BOVINOS""",1,1,201,9,25,81401.1,1300,25700,2,37,4207205,34.49,2021-06-01
PORTO MAUÁ,"""SOJA""",1,1,300,2,24,12169.04,6720,52591,1,1,4315057,8.0,2017-01-01
SÃO MATEUS DO SUL,"""FEIJÃO""",1,1,201,3,19,213286.0,3560,27650,1,1,4125605,82.03,2019-08-01
ABELARDO LUZ,"""BOVINOS""",1,1,300,-1,25,21385.02,1300,24598,2,26,4200101,0.0,2016-11-01
DOMINGOS MARTINS,"""TOMATE""",999,0,201,9,8,74200.0,6940,21508,1,1,3201902,2.8,2017-01-01
